province,age_group,sex,population,age_category
Girona,56 years,males,4939.0,middle
Girona,56 years,females,4898.0,middle
Girona,56 years,total,9837.0,middle
Girona,57 years,males,4750.0,middle
Girona,57 years,females,4764.0,middle
Girona,57 years,total,9514.0,middle
Girona,58 years,males,4455.0,middle
Girona,58 years,females,4561.0,middle
Girona,58 years,total,9016.0,middle
Girona,59 years,males,4501.0,middle
Girona,59 years,females,4354.0,middle
Girona,59 years,total,8855.0,middle
Girona,60 years,males,4326.0,middle
Girona,60 years,females,4276.0,middle
Girona,60 years,total,8602.0,middle
Girona,61 years,males,4182.0,middle
Girona,61 years,females,4067.0,middle
Girona,61 years,total,8249.0,middle
Girona,62 years,males,4176.0,middle
Girona,62 years,females,4108.0,middle
Girona,62 years,total,8284.0,middle
Girona,63 years,males,3797.0,middle
Girona,63 years,females,3871.0,middle
Girona,63 years,total,7668.0,middle
Girona,64 years,males,3649.0,middle
Girona,64 years,females,3860.0,middle
Girona,64 years,total,7509.0,middle
Girona,65 years,males,3633.0,retired
Girona,65 years,females,3720.0,retired
Girona,65 years,total,7353.0,retired
Girona,66 years,males,3993.0,retired
Girona,66 years,females,4059.0,retired
Girona,66 years,total,8052.0,retired
Girona,67 years,males,3493.0,retired
Girona,67 years,females,3784.0,retired
Girona,67 years,total,7277.0,retired
Girona,68 years,males,3307.0,retired
Girona,68 years,females,3428.0,retired
Girona,68 years,total,6735.0,retired
Girona,69 years,males,3307.0,retired
Girona,69 years,females,3388.0,retired
Girona,69 years,total,6695.0,retired
Girona,70 years,males,3063.0,retired
Girona,70 years,females,3276.0,retired
Girona,70 years,total,6339.0,retired
Girona,71 years,males,2922.0,retired
Girona,71 years,females,3110.0,retired
Girona,71 years,total,6032.0,retired
Girona,72 years,males,2547.0,retired
Girona,72 years,females,2754.0,retired
Girona,72 years,total,5301.0,retired
Girona,73 years,males,2331.0,retired
Girona,73 years,females,2651.0,retired
Girona,73 years,total,4982.0,retired
Girona,74 years,males,2792.0,retired
Girona,74 years,females,3136.0,retired
Girona,74 years,total,5928.0,retired
Girona,75 years,males,1497.0,retired
Girona,75 years,females,1695.0,retired
Girona,75 years,total,3192.0,retired
Girona,76 years,males,1741.0,retired
Girona,76 years,females,2184.0,retired
Girona,76 years,total,3925.0,retired
Girona,77 years,males,2208.0,retired
Girona,77 years,females,2673.0,retired
Girona,77 years,total,4881.0,retired
Girona,78 years,males,2276.0,retired
Girona,78 years,females,2810.0,retired
Girona,78 years,total,5086.0,retired
Girona,79 years,males,2049.0,retired
Girona,79 years,females,2701.0,retired
Girona,79 years,total,4750.0,retired
Girona,80 years,males,1956.0,retired
Girona,80 years,females,2632.0,retired
Girona,80 years,total,4588.0,retired
Girona,81 years,males,1901.0,retired
Girona,81 years,females,2590.0,retired
Girona,81 years,total,4491.0,retired
Girona,82 years,males,1766.0,retired
Girona,82 years,females,2573.0,retired
Girona,82 years,total,4339.0,retired
Girona,83 years,males,1599.0,retired
Girona,83 years,females,2353.0,retired
Girona,83 years,total,3952.0,retired
Girona,84 years,males,1461.0,retired
Girona,84 years,females,2399.0,retired
Girona,84 years,total,3860.0,retired
Girona,85 years,males,1283.0,retired
Girona,85 years,females,2003.0,retired
Girona,85 years,total,3286.0,retired
Girona,86 years,males,1104.0,retired
Girona,86 years,females,1889.0,retired
Girona,86 years,total,2993.0,retired
Girona,87 years,males,973.0,retired
Girona,87 years,females,1682.0,retired
Girona,87 years,total,2655.0,retired
Girona,88 years,males,802.0,retired
Girona,88 years,females,1571.0,retired
Girona,88 years,total,2373.0,retired
Girona,89 years,males,669.0,retired
Girona,89 years,females,1347.0,retired
Girona,89 years,total,2016.0,retired
Girona,90 years,males,559.0,retired
Girona,90 years,females,1083.0,retired
Girona,90 years,total,1642.0,retired
Girona,91 years,males,393.0,retired
Girona,91 years,females,943.0,retired
Girona,91 years,total,1336.0,retired
Girona,92 years,males,351.0,retired
Girona,92 years,females,824.0,retired
Girona,92 years,total,1175.0,retired
Girona,93 years,males,248.0,retired
Girona,93 years,females,644.0,retired
Girona,93 years,total,892.0,retired
Girona,94 years,males,170.0,retired
Girona,94 years,females,486.0,retired
Girona,94 years,total,656.0,retired
Girona,95 years,males,100.0,retired
Girona,95 years,females,322.0,retired
Girona,95 years,total,422.0,retired
Girona,96 years,males,89.0,retired
Girona,96 years,females,232.0,retired
Girona,96 years,total,321.0,retired
Girona,97 years,males,49.0,retired
Girona,97 years,females,162.0,retired
Girona,97 years,total,211.0,retired
Girona,98 years,males,26.0,retired
Girona,98 years,females,111.0,retired
Girona,98 years,total,137.0,retired
Girona,99 years,males,24.0,retired
Girona,99 years,females,89.0,retired
Girona,99 years,total,113.0,retired
Girona,100 years and over,males,43.0,retired
Girona,100 years and over,females,152.0,retired
Girona,100 years and over,total,195.0,retired
Girona,total,males,376936.0,middle
Girona,total,females,376118.0,middle
Girona,total,total,753054.0,middle
Lleida,0 years,males,2130.0,underage
Lleida,0 years,females,2039.0,underage
Lleida,0 years,total,4169.0,underage
Lleida,1 year,males,2139.0,underage
Lleida,1 year,females,2055.0,underage
Lleida,1 year,total,4194.0,underage
Lleida,2 years,males,2227.0,underage
Lleida,2 years,females,2182.0,underage
Lleida,2 years,total,4409.0,underage
Lleida,3 years,males,2392.0,underage
Lleida,3 years,females,2259.0,underage
Lleida,3 years,total,4651.0,underage
Lleida,4 years,males,2495.0,underage
Lleida,4 years,females,2300.0,underage
Lleida,4 years,total,4795.0,underage
Lleida,5 years,males,2592.0,underage
Lleida,5 years,females,2373.0,underage
